stream,genid_adult,sex_adult,date_sampled,meps_length_mm,carc_quality,updist_adult_ms,rkm_adult,utm_zone,utm_x_adult,utm_y_adult
MFJD,OtsJDMF20F-002,female,9/16/2020,600,1,85072,85.072,11 N,361628,4948411
MFJD,OtsJDMF20F-004,female,9/16/2020,545,2,85584,85.584,11 N,362113,4948487
MFJD,OtsJDMF20F-005,female,9/16/2020,550,1,85679,85.679,11 N,362205,4948507
MFJD,OtsJDMF20F-006,female,9/16/2020,537,1,85745,85.745,11 N,362269,4948520
MFJD,OtsJDMF20F-008,female,9/16/2020,557,3,104643,104.643,11 N,374775,4942184
MFJD,OtsJDMF20F-009,female,9/18/2020,585,4,104101,104.101,11 N,374430,4942349
MFJD,OtsJDMF20F-010,female,9/18/2020,615,1,104100,104.1,11 N,374430,4942350
MFJD,OtsJDMF20F-011,female,9/18/2020,605,1,103509,103.509,11 N,374125,4942596
MFJD,OtsJDMF20F-012,female,9/18/2020,610,1,103025,103.025,11 N,373745,4942871
MFJD,OtsJDMF20F-015,female,9/18/2020,610,1,102847,102.847,11 N,373645,4943018
MFJD,OtsJDMF20F-036,female,9/16/2020,592,2,95306,95.306,11 N,368335,4944576
MFJD,OtsJDMF20F-037,female,9/16/2020,623,2,95343,95.343,11 N,368371,4944570
MFJD,OtsJDMF20F-041,female,9/16/2020,0,2,96320,96.32,11 N,369003,4944533
MFJD,OtsJDMF20F-042,female,9/18/2020,620,2,102841,102.841,11 N,373642,4943023
MFJD,OtsJDMF20F-044,female,9/18/2020,540,1,102344,102.344,11 N,373283,4943064
MFJD,OtsJDMF20F-045,female,9/18/2020,705,3,101066,101.066,11 N,372285,4943329
MFJD,OtsJDMF20F-050,female,9/16/2020,493,3,103402,103.402,11 N,374026,4942636
MFJD,OtsJDMF20F-052,female,9/19/2020,575,2,114192,114.192,11 N,381466,4939195
MFJD,OtsJDMF20F-053,female,9/19/2020,570,3,113256,113.256,11 N,380742,4938903
MFJD,OtsJDMF20F-054,female,9/19/2020,535,1,113079,113.079,11 N,380607,4938891
MFJD,OtsJDMF20F-057,female,9/19/2020,600,3,112813,112.813,11 N,380389,4938912
MFJD,OtsJDMF20F-058,female,9/19/2020,530,3,112713,112.713,11 N,380290,4938904
MFJD,OtsJDMF20F-060,female,9/19/2020,660,3,110598,110.598,11 N,378633,4939629
MFJD,OtsJDMF20F-068,female,9/16/2020,590,1,107374,107.374,11 N,376465,4941237
MFJD,OtsJDMF20F-072,female,9/16/2020,530,4,107941,107.941,11 N,376714,4940936
MFJD,OtsJDMF20F-074,female,9/17/2020,520,2,107737,107.737,11 N,376575,4940984
MFJD,OtsJDMF20F-076,female,9/16/2020,525,3,109003,109.003,11 N,377425,4940402
MFJD,OtsJDMF20F-078,female,9/16/2020,567,2,109407,109.407,11 N,377740,4940192
MFJD,OtsJDMF20F-079,female,9/16/2020,575,2,109540,109.54,11 N,377826,4940093
MFJD,OtsJDMF20F-086,female,9/16/2020,575,2,113085,113.085,11 N,380613,4938890
MFJD,OtsJDMF20F-089,female,9/22/2020,570,1,85679,85.679,11 N,362205,4948507
MFJD,OtsJDMF20F-090,female,9/22/2020,570,2,85682,85.682,11 N,362208,4948507
MFJD,OtsJDMF20F-093,female,9/21/2020,610,3,85082,85.082,11 N,361637,4948415
MFJD,OtsJDMF20F-094,female,9/21/2020,570,3,85082,85.082,11 N,361637,4948415
MFJD,OtsJDMF20F-122,female,9/17/2020,557,1,106906,106.906,11 N,376229,4941520
MFJD,OtsJDMF20F-123,female,9/17/2020,570,4,85646,85.646,11 N,362172,4948505
MFJD,OtsJDMF20F-125,female,9/17/2020,585,2,85274,85.274,11 N,361826,4948427
MFJD,OtsJDMF20F-133,female,9/17/2020,0,4,83697,83.697,11 N,360480,4948698
MFJD,OtsJDMF20F-134,female,9/17/2020,535,4,83654,83.654,11 N,360438,4948707
MFJD,OtsJDMF20F-138,female,9/21/2020,575,1,106926,106.926,11 N,376240,4941503
MFJD,OtsJDMF20F-139,female,9/21/2020,545,3,107411,107.411,11 N,376459,4941201
MFJD,OtsJDMF20F-140,female,9/21/2020,550,3,104644,104.644,11 N,374775,4942185
MFJD,OtsJDMF20F-141,female,9/21/2020,0,3,99594,99.594,11 N,371100,4943791
MFJD,OtsJDMF20F-143,female,9/21/2020,530,4,102733,102.733,11 N,373595,4943120
MFJD,OtsJDMF20F-144,female,9/22/2020,610,1,93982,93.982,11 N,367744,4945333
MFJD,OtsJDMF20F-145,female,9/22/2020,570,1,84846,84.846,11 N,361442,4948349
MFJD,OtsJDMF20F-146,female,9/22/2020,655,1,85329,85.329,11 N,361876,4948406
MFJD,OtsJDMF20F-147,female,9/22/2020,590,1,85534,85.534,11 N,362067,4948468
MFJD,OtsJDMF20F-149,female,9/22/2020,580,1,85599,85.599,11 N,362127,4948493
MFJD,OtsJDMF20F-152,female,9/19/2020,575,3,109405,109.405,11 N,377738,4940193
MFJD,OtsJDMF20F-153,female,9/21/2020,558,3,109006,109.006,11 N,377428,4940403
MFJD,OtsJDMF20F-154,female,9/21/2020,587,3,109877,109.877,11 N,378054,4939863
