stream,site,rkm,date,year,month,doy,temp_mean_day,temp_max_day,temp_min_day,temp_range_day,temp_n_meas_day,utm_zone,utm_x_logger,utm_y_logger
MFJD,CBW05583-207602,112.31,12/30/2021,2021,12,364,0.5,1.2,-0.1,1.3,24,11 N,NA,NA
MFJD,CBW05583-314610,104.58,12/30/2021,2021,12,364,0.1,0.2,0,0.2,24,11 N,NA,NA
MFJD,MFJD_aBridgeCr,112.03,12/30/2021,2021,12,364,0.4,1.2,0,1.2,24,11 N,NA,NA
MFJD,MFJD_aClearCr,114.28,12/30/2021,2021,12,364,0.4,1.8,0,1.8,24,11 N,NA,NA
MFJD,MFJD_aDeepCr,76.09,12/30/2021,2021,12,364,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_aDeerhornCr,104.01,12/30/2021,2021,12,364,0.1,0.1,0,0.1,24,11 N,NA,NA
MFJD,MFJD_aLittleBoulderCr,103.07,12/30/2021,2021,12,364,0.2,0.3,0.1,0.2,24,11 N,NA,NA
MFJD,MFJD_aVinegarCr,110.56,12/30/2021,2021,12,364,0.1,0.1,0,0.1,24,11 N,NA,NA
MFJD,MFJD_bBridgeCr,111.91,12/30/2021,2021,12,364,0.4,1.1,0,1.1,24,11 N,NA,NA
MFJD,MFJD_bCampCr,79.63,12/30/2021,2021,12,364,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_bDeerhornCr,103.92,12/30/2021,2021,12,364,0.1,0.1,0.1,0,24,11 N,NA,NA
MFJD,MFJD_bGraniteBoulderCr,95.12,12/30/2021,2021,12,364,0.3,0.4,0.2,0.2,24,11 N,NA,NA
MFJD,MFJD_bLittleButteCr,100.92,12/30/2021,2021,12,364,0,-0.1,-0.1,0,24,11 N,NA,NA
MFJD,MFJD_bVinegarCr,109.9,12/30/2021,2021,12,364,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_aLowestAlcoveOCA,92.92,12/30/2021,2021,12,364,0,0.1,0,0.1,24,11 N,NA,NA
MFJD,CBW05583-207602,112.31,12/29/2021,2021,12,363,1,2.1,0.5,1.6,24,11 N,NA,NA
MFJD,CBW05583-314610,104.58,12/29/2021,2021,12,363,0.1,0.3,0,0.3,24,11 N,NA,NA
MFJD,MFJD_aBridgeCr,112.03,12/29/2021,2021,12,363,0.9,2,0.1,1.9,24,11 N,NA,NA
MFJD,MFJD_aClearCr,114.28,12/29/2021,2021,12,363,2.1,3.1,0.9,2.2,24,11 N,NA,NA
MFJD,MFJD_aDeepCr,76.09,12/29/2021,2021,12,363,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_aDeerhornCr,104.01,12/29/2021,2021,12,363,0.1,0.1,0,0.1,24,11 N,NA,NA
MFJD,MFJD_aLittleBoulderCr,103.07,12/29/2021,2021,12,363,0.1,0.1,0.1,0,24,11 N,NA,NA
MFJD,MFJD_aVinegarCr,110.56,12/29/2021,2021,12,363,0.3,1,0,1,24,11 N,NA,NA
MFJD,MFJD_bBridgeCr,111.91,12/29/2021,2021,12,363,0.9,2.1,0.1,2,24,11 N,NA,NA
MFJD,MFJD_bCampCr,79.63,12/29/2021,2021,12,363,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_bDeerhornCr,103.92,12/29/2021,2021,12,363,0.1,0.2,0.1,0.1,24,11 N,NA,NA
MFJD,MFJD_bGraniteBoulderCr,95.12,12/29/2021,2021,12,363,0.2,0.3,0.2,0.1,24,11 N,NA,NA
MFJD,MFJD_bLittleButteCr,100.92,12/29/2021,2021,12,363,0,-0.1,-0.1,0,24,11 N,NA,NA
MFJD,MFJD_bVinegarCr,109.9,12/29/2021,2021,12,363,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_aLowestAlcoveOCA,92.92,12/29/2021,2021,12,363,0,0.1,0,0.1,24,11 N,NA,NA
MFJD,CBW05583-207602,112.31,12/28/2021,2021,12,362,0.7,1.6,0,1.6,24,11 N,NA,NA
MFJD,CBW05583-314610,104.58,12/28/2021,2021,12,362,0.1,0.3,0.1,0.2,24,11 N,NA,NA
MFJD,MFJD_aBridgeCr,112.03,12/28/2021,2021,12,362,0.6,1.6,-0.1,1.7,24,11 N,NA,NA
MFJD,MFJD_aClearCr,114.28,12/28/2021,2021,12,362,0.9,2.4,0,2.4,24,11 N,NA,NA
MFJD,MFJD_aDeepCr,76.09,12/28/2021,2021,12,362,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_aDeerhornCr,104.01,12/28/2021,2021,12,362,0.1,0.1,0,0.1,24,11 N,NA,NA
MFJD,MFJD_aLittleBoulderCr,103.07,12/28/2021,2021,12,362,0.1,0.1,0.1,0,24,11 N,NA,NA
MFJD,MFJD_aVinegarCr,110.56,12/28/2021,2021,12,362,0.1,0.1,0.1,0,24,11 N,NA,NA
MFJD,MFJD_bBridgeCr,111.91,12/28/2021,2021,12,362,0.6,1.6,0,1.6,24,11 N,NA,NA
MFJD,MFJD_bCampCr,79.63,12/28/2021,2021,12,362,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_bDeerhornCr,103.92,12/28/2021,2021,12,362,0.1,0.1,0.1,0,24,11 N,NA,NA
MFJD,MFJD_bGraniteBoulderCr,95.12,12/28/2021,2021,12,362,0.2,0.3,0.2,0.1,24,11 N,NA,NA
MFJD,MFJD_bLittleButteCr,100.92,12/28/2021,2021,12,362,0,-0.1,-0.1,0,24,11 N,NA,NA
MFJD,MFJD_bVinegarCr,109.9,12/28/2021,2021,12,362,0,0.1,0,0.1,24,11 N,NA,NA
MFJD,MFJD_aLowestAlcoveOCA,92.92,12/28/2021,2021,12,362,0,0.1,0,0.1,24,11 N,NA,NA
MFJD,CBW05583-207602,112.31,12/27/2021,2021,12,361,0.2,0.7,0,0.7,24,11 N,NA,NA
MFJD,CBW05583-314610,104.58,12/27/2021,2021,12,361,0.1,0.2,0,0.2,24,11 N,NA,NA
MFJD,MFJD_aBridgeCr,112.03,12/27/2021,2021,12,361,0.1,0.6,0,0.6,24,11 N,NA,NA
MFJD,MFJD_aClearCr,114.28,12/27/2021,2021,12,361,0.2,1.3,0,1.3,24,11 N,NA,NA
MFJD,MFJD_aDeepCr,76.09,12/27/2021,2021,12,361,0,0,0,0,24,11 N,NA,NA
MFJD,MFJD_aDeerhornCr,104.01,12/27/2021,2021,12,361,0.1,0.1,0,0.1,24,11 N,NA,NA
MFJD,MFJD_aLittleBoulderCr,103.07,12/27/2021,2021,12,361,0.1,0.1,0.1,0,24,11 N,NA,NA
MFJD,MFJD_aVinegarCr,110.56,12/27/2021,2021,12,361,0.1,0.1,0.1,0,24,11 N,NA,NA
