stream,stream_reach,site_cat,survey_date,survey_method,ch_parr_observed,length_m_tot,updist_bos,updist_tos,n_ch_est_mean,n_ch_est_sd,n_ch_est_2.5,n_ch_est_5,n_ch_est_10,n_ch_est_25,n_ch_est_50,n_ch_est_75,n_ch_est_90,n_ch_est_95,n_ch_est_97.5,utm_zone,utm_x_reach,utm_y_reach
Beaver Creek,1,obs,7/14/2021,electrofish,63,249,10,259,274,81.9,181,192,201,223,256,300,367,416,479,11 N,367070,4945749
Big Boulder Creek,1,obs,7/29/2021,snorkel,206,187,25,161,405,25.1,362,368,375,388,401,420,439,449,464,11 N,363964,4947385
Big Boulder Creek,2,obs,7/29/2021,snorkel,120,171,178,336,332,24.4,292,296,301,315,332,348,364,374,384,11 N,363966,4947548
Big Boulder Creek,3,obs,7/29/2021,snorkel,192,124,329,462,418,33.1,364,369,379,395,414,436,459,474,492,11 N,363963,4947680
Butte Creek,1,obs,7/14/2021,electrofish,140,275,21,296,614,137.3,432,454,476,521,585,671,794,885,990,11 N,369020,4944442
Butte Creek,2,obs,7/14/2021,electrofish,90,249,296,545,396,108.9,270,284,299,327,372,434,511,601,685,11 N,369143,4944233
Butte Creek,3,obs,7/21/2021,electrofish,18,165,545,710,77,25.1,50,54,57,63,72,84,101,121,137,11 N,369145,4944040
Butte Creek,4,pred,,NA,,250,710,960,13,2.5,8,9,10,11,13,15,16,17,18,11 N,369208,4943845
Butte Creek,5,pred,,NA,,250,960,1210,0,0,0,0,0,0,0,0,0,0,0,11 N,369284,4943608
Camp Creek,1,pred,,NA,,201,0,201,72,35.7,40,42,44,53,63,78,103,126,171,11 N,357658,4950444
Camp Creek,2,obs,7/9/2021,electrofish,14,172,201,373,61,30.6,34,36,38,45,54,67,88,108,146,11 N,357660,4950269
Camp Creek,3,pred,,NA,,321,373,694,112,51.9,64,67,72,83,100,122,157,193,253,11 N,357622,4950066
Camp Creek,4,pred,,NA,,321,694,1015,108,47.2,64,68,72,82,97,120,150,184,234,11 N,357578,4949762
Camp Creek,5,pred,,NA,,321,1015,1336,105,42.8,64,67,71,80,94,116,144,174,216,11 N,357580,4949465
Camp Creek,6,pred,,NA,,321,1336,1657,102,39,63,66,70,79,92,112,141,174,205,11 N,357540,4949170
Camp Creek,7,pred,,NA,,321,1657,1978,99,35.9,61,65,69,77,89,109,139,163,203,11 N,357470,4948878
Camp Creek,8,pred,,NA,,321,1978,2299,96,33.8,59,63,67,75,86,106,134,160,189,11 N,357402,4948597
Camp Creek,9,pred,,NA,,321,2299,2620,93,32.8,57,61,65,73,83,102,131,155,185,11 N,357343,4948304
Camp Creek,10,pred,,NA,,321,2620,2941,89,33,54,58,61,69,80,98,126,152,183,11 N,357164,4948042
Camp Creek,11,pred,,NA,,321,2941,3262,86,34.4,50,54,58,66,77,94,123,149,179,11 N,356987,4947792
Camp Creek,12,pred,,NA,,321,3262,3583,83,36.9,47,50,54,62,73,91,121,143,181,11 N,356789,4947563
Camp Creek,13,obs,7/9/2021,electrofish,14,244,3583,3827,61,30.6,32,34,37,43,53,67,91,112,143,11 N,356636,4947367
Clear Creek,1,obs,8/12/2021,snorkel,177,93,68,154,388,45.8,313,320,335,357,383,412,444,469,498,11 N,380401,4938802
Clear Creek,2,obs,8/12/2021,snorkel,345,522,180,662,1280,158.7,1022,1049,1098,1170,1260,1373,1480,1572,1642,11 N,380434,4938498
Clear Creek,3,obs,8/12/2021,snorkel,139,197,648,865,397,46.1,315,323,338,363,394,429,458,476,490,11 N,380582,4938214
Clear Creek,4,obs,8/12/2021,snorkel,180,298,895,1216,643,113.3,468,481,501,554,632,721,800,848,881,11 N,380678,4937967
Clear Creek,5,obs,8/12/2021,snorkel,136,275,1215,1514,644,140.4,426,446,475,538,626,734,830,904,953,11 N,380888,4937856
Clear Creek,6,obs,8/26/2021,snorkel,41,243,1510,1761,148,26.5,103,108,116,130,146,166,181,193,206,11 N,380959,4937618
Davis Creek,1,pred,,NA,,62,0,62,187,51.7,129,133,140,155,174,202,239,291,338,11 N,378626,4939560
Davis Creek,2,obs,7/6/2021,electrofish,111,160,62,222,482,133.3,332,343,360,399,450,522,617,752,871,11 N,378570,4939467
Davis Creek,3,obs,7/7/2021,electrofish,53,126,222,348,232,83.8,144,151,160,179,210,254,329,385,455,11 N,378482,4939370
Davis Creek,4,pred,,NA,,62,348,410,87,23.9,59,61,64,71,80,94,116,137,152,11 N,378418,4939308
Davis Creek,5,obs,7/8/2021,electrofish,36,163,410,573,156,57.9,100,102,109,122,142,171,212,255,318,11 N,378382,4939208
Davis Creek,6,pred,,NA,,160,573,733,153,56.8,98,100,107,120,139,168,208,250,312,11 N,378377,4939058
Dead Cow Gulch,1,pred,,NA,,55,0,55,125,30.1,86,90,94,104,119,137,160,183,203,11 N,376935,4940657
