stream,stream_type,date_sampled,genid_parr,paired_to_female,paired_to_male,fork_length_mm,mass_g,updist_parr_ms,updist_parr_trib,rkm_parr,model_weight,utm_zone,utm_x_parr,utm_y_parr,genid_adult,sex_adult,updist_adult_ms,rkm_adult,disp_ms,disp_trib,disp_tot
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0001,yes,no,51,1.4,109995,214,110,0.593,11 N,378317,4939925,OtsJDMF20F-138,female,106926,106.93,3069,214,3283
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0002,yes,no,61,2.8,109995,214,110,0.593,11 N,378317,4939925,OtsJDMF20F-153,female,109006,109.01,989,214,1203
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0006,yes,no,54,1.4,109995,214,110,0.593,11 N,378317,4939925,OtsJDMF20F-078,female,109407,109.41,588,214,802
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0009,yes,no,59,2.4,109995,240,110,0.593,11 N,378333,4939942,OtsJDMF20F-153,female,109006,109.01,989,240,1229
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0011,yes,no,60,2.2,109995,267,110,0.593,11 N,378343,4939966,OtsJDMF20F-060,female,110598,110.6,-603,267,-870
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0013,yes,no,56,2.1,109995,267,110,0.593,11 N,378343,4939966,OtsJDMF20F-152,female,109405,109.4,590,267,857
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0017,yes,no,61,2.6,109995,267,110,0.593,11 N,378343,4939966,OtsJDMF20F-152,female,109405,109.4,590,267,857
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0019,yes,no,52,1.5,109995,267,110,0.593,11 N,378343,4939966,OtsJDMF20F-170,female,108542,108.54,1453,267,1720
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0020,yes,no,68,3.4,109995,267,110,0.593,11 N,378343,4939966,OtsJDMF20F-166,female,110337,110.34,-342,267,-609
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0022,yes,no,58,2.3,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-152,female,109405,109.4,590,290,880
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0025,yes,no,54,1.6,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-170,female,108542,108.54,1453,290,1743
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0033,yes,no,60,2.5,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-153,female,109006,109.01,989,290,1279
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0036,yes,no,52,1.5,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-157,female,108568,108.57,1427,290,1717
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0037,yes,no,54,1.8,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-076,female,109003,109,992,290,1282
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0038,yes,no,58,2.4,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-152,female,109405,109.4,590,290,880
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0041,yes,no,52,1.6,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-078,female,109407,109.41,588,290,878
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0042,yes,no,59,2.4,109995,290,110,0.593,11 N,378358,4939983,OtsJDMF20F-153,female,109006,109.01,989,290,1279
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0043,yes,no,63,2.7,109995,316,110,0.593,11 N,378387,4939997,OtsJDMF20F-170,female,108542,108.54,1453,316,1769
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0045,yes,no,56,2,109995,316,110,0.593,11 N,378387,4939997,OtsJDMF20F-166,female,110337,110.34,-342,316,-658
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0047,yes,no,74,4.5,109995,316,110,0.593,11 N,378387,4939997,OtsJDMF20F-060,female,110598,110.6,-603,316,-919
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0048,yes,no,61,2.6,109995,316,110,0.593,11 N,378387,4939997,OtsJDMF20F-068,female,107374,107.37,2621,316,2937
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0049,yes,no,58,2.5,109995,316,110,0.593,11 N,378387,4939997,OtsJDMF20F-078,female,109407,109.41,588,316,904
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0065,yes,no,54,1.6,109995,358,110,0.593,11 N,378445,4940020,OtsJDMF20F-157,female,108568,108.57,1427,358,1785
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0080,yes,no,68,3.5,109995,405,110,0.593,11 N,378461,4940053,OtsJDMF20F-060,female,110598,110.6,-603,405,-1008
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0082,yes,no,53,1.9,109995,405,110,0.593,11 N,378461,4940053,OtsJDMF20F-076,female,109003,109,992,405,1397
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0083,yes,no,64,3.2,109995,405,110,0.593,11 N,378461,4940053,OtsJDMF20F-153,female,109006,109.01,989,405,1394
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0085,yes,no,54,1.1,109995,440,110,0.593,11 N,378490,4940066,OtsJDMF20F-138,female,106926,106.93,3069,440,3509
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0087,yes,no,49,1.5,109995,440,110,0.593,11 N,378490,4940066,OtsJDMF20F-157,female,108568,108.57,1427,440,1867
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0088,yes,no,52,1.4,109995,440,110,0.593,11 N,378490,4940066,OtsJDMF20F-068,female,107374,107.37,2621,440,3061
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0090,yes,no,52,1.7,109995,440,110,0.593,11 N,378490,4940066,OtsJDMF20F-157,female,108568,108.57,1427,440,1867
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0092,yes,no,62,2.6,109995,440,110,0.593,11 N,378490,4940066,OtsJDMF20F-152,female,109405,109.4,590,440,1030
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0093,yes,no,50,1.3,109995,440,110,0.593,11 N,378490,4940066,OtsJDMF20F-076,female,109003,109,992,440,1432
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0094,yes,no,60,2.5,109995,440,110,0.593,11 N,378490,4940066,OtsJDMF20F-153,female,109006,109.01,989,440,1429
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0098,yes,no,57,1.9,109995,476,110,0.593,11 N,378517,4940091,OtsJDMF20F-078,female,109407,109.41,588,476,1064
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0102,yes,no,53,1.5,109995,476,110,0.593,11 N,378517,4940091,OtsJDMF20F-152,female,109405,109.4,590,476,1066
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0103,yes,no,61,2.9,109995,476,110,0.593,11 N,378517,4940091,OtsJDMF20H-077,female,109187,109.19,808,476,1284
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0106,yes,no,58,2,109995,476,110,0.593,11 N,378517,4940091,OtsJDMF20F-076,female,109003,109,992,476,1468
Vinegar Creek,tributary,6/29/2021,OtsJDMF21JP-0107,yes,no,64,2.9,109995,476,110,0.593,11 N,378517,4940091,OtsJDMF20F-058,female,112713,112.71,-2718,476,-3194
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0113,yes,no,63,3,109995,518,110,0.432,11 N,378537,4940126,OtsJDMF20F-152,female,109405,109.4,590,518,1108
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0116,yes,no,60,2.3,109995,518,110,0.432,11 N,378537,4940126,OtsJDMF20F-170,female,108542,108.54,1453,518,1971
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0121,yes,no,59,2.5,109995,518,110,0.432,11 N,378537,4940126,OtsJDMF20F-068,female,107374,107.37,2621,518,3139
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0123,yes,no,66,3.2,109995,518,110,0.432,11 N,378537,4940126,OtsJDMF20F-057,female,112813,112.81,-2818,518,-3336
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0126,yes,no,60,2.4,109995,518,110,0.432,11 N,378537,4940126,OtsJDMF20F-152,female,109405,109.4,590,518,1108
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0127,yes,no,62,2.7,109995,518,110,0.432,11 N,378537,4940126,OtsJDMF20F-166,female,110337,110.34,-342,518,-860
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0128,yes,no,55,1.8,109995,518,110,0.432,11 N,378537,4940126,OtsJDMF20F-138,female,106926,106.93,3069,518,3587
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0133,yes,no,50,1.2,109995,544,110,0.432,11 N,378549,4940147,OtsJDMF20F-079,female,109540,109.54,455,544,999
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0135,yes,no,62,2.3,109995,544,110,0.432,11 N,378549,4940147,OtsJDMF20F-152,female,109405,109.4,590,544,1134
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0137,yes,no,67,3.4,109995,544,110,0.432,11 N,378549,4940147,OtsJDMF20F-072,female,107941,107.94,2054,544,2598
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0138,yes,no,65,3.2,109995,544,110,0.432,11 N,378549,4940147,OtsJDMF20F-153,female,109006,109.01,989,544,1533
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0139,yes,no,54,1.7,109995,544,110,0.432,11 N,378549,4940147,OtsJDMF20F-122,female,106906,106.91,3089,544,3633
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0144,yes,no,55,1.8,109995,544,110,0.432,11 N,378549,4940147,OtsJDMF20F-138,female,106926,106.93,3069,544,3613
Vinegar Creek,tributary,7/2/2021,OtsJDMF21JP-0146,yes,no,58,1.8,109995,544,110,0.432,11 N,378549,4940147,OtsJDMF20F-078,female,109407,109.41,588,544,1132
